año,mes,mes_nombre,entidad_operadora,nro_dispositivos,nro_transacciones,monto,entidad_operadora_normalizada,nro_feriados,nro_dias,especie_monetaria_circulacion,liquidez_total_m2,oferta_monetaria_m1
2022,8,Agosto,Banco del Austro,4940,512807,25352495.57,Banco Del Austro,1.0,1.0,18588.49,72494.98,29650.81
2022,9,Septiembre,Banco del Austro,5049,445819,22288945.53,Banco Del Austro,0.0,0.0,18602.56,72737.82,29507.66
2022,10,Octubre,Banco del Austro,5613,466534,22446005.18,Banco Del Austro,1.0,1.0,18689.49,72880.73,29442.38
2022,11,Noviembre,Banco del Austro,6041,451684,21654169.69,Banco Del Austro,2.0,2.0,18957.9,73420.53,29667.63
2022,12,Diciembre,Banco del Austro,6066,541881,26733060.31,Banco Del Austro,1.0,1.0,19226.42,75310.32,30190.8
2023,1,Enero,Datafast,79728,13049325,723152542.28,Datafast,1.0,1.0,18900.64,74852.72,29932.29
2023,2,Febrero,Datafast,78772,12204448,659598458.21,Datafast,1.0,2.0,18878.35,75331.19,29945.17
2023,3,Marzo,Datafast,80464,13552629,774275650.52,Datafast,0.0,0.0,18995.92,76768.81,30788.16
2023,4,Abril,Datafast,79931,13840902,769308451.69,Datafast,1.0,1.0,19160.14,76697.24,29948.66
2023,5,Mayo,Datafast,80748,14267086,782065723.53,Datafast,2.0,2.0,19110.34,76539.04,29954.21
2023,6,Junio,Datafast,80381,13895788,749931053.2,Datafast,0.0,0.0,19120.12,76519.02,29696.36
2023,7,Julio,Datafast,80687,14556421,773156369.51,Datafast,0.0,0.0,19149.79,76563.01,29579.5
2023,8,Agosto,Datafast,80832,14209541,783368074.8,Datafast,1.0,1.0,19249.5,77661.06,29807.87
2023,9,Septiembre,Datafast,80356,13933120,752829971.49,Datafast,0.0,0.0,19304.07,77724.47,29606.27
2023,10,Octubre,Datafast,80272,13562713,729041215.02,Datafast,1.0,1.0,19332.48,77979.61,29676.94
2023,11,Noviembre,Datafast,80069,13767336,774617155.18,Datafast,2.0,2.0,19305.94,78387.23,29967.92
2023,12,Diciembre,Datafast,80722,17033301,948491839.47,Datafast,1.0,1.0,19818.38,80343.61,30488.99
2023,1,Enero,Medianet,23766,5127147,189726024.25,Medianet,1.0,1.0,18900.64,74852.72,29932.29
2023,2,Febrero,Medianet,23860,4803178,175756121.62,Medianet,1.0,2.0,18878.35,75331.19,29945.17
2023,3,Marzo,Medianet,24730,5526982,207701183.77,Medianet,0.0,0.0,18995.92,76768.81,30788.16
2023,4,Abril,Medianet,25227,5877941,222115761.4,Medianet,1.0,1.0,19160.14,76697.24,29948.66
2023,5,Mayo,Medianet,25612,5993406,219304007.49,Medianet,2.0,2.0,19110.34,76539.04,29954.21
2023,6,Junio,Medianet,25880,5959537,216526841.99,Medianet,0.0,0.0,19120.12,76519.02,29696.36
2023,7,Julio,Medianet,26361,6267871,229590026.13,Medianet,0.0,0.0,19149.79,76563.01,29579.5
2023,8,Agosto,Medianet,26675,6185689,232239587.34,Medianet,1.0,1.0,19249.5,77661.06,29807.87
2023,9,Septiembre,Medianet,24481,5562056,204612790.53,Medianet,0.0,0.0,19304.07,77724.47,29606.27
2023,10,Octubre,Medianet,27672,6155510,219930166.45,Medianet,1.0,1.0,19332.48,77979.61,29676.94
2023,11,Noviembre,Medianet,28366,6372752,237523067.17,Medianet,2.0,2.0,19305.94,78387.23,29967.92
2023,12,Diciembre,Medianet,28795,7330743,244677371.98,Medianet,1.0,1.0,19818.38,80343.61,30488.99
2023,1,Enero,Banco del Austro,5853,516191,24432693.97,Banco Del Austro,1.0,1.0,18900.64,74852.72,29932.29
2023,2,Febrero,Banco del Austro,5841,486293,22234249.19,Banco Del Austro,1.0,2.0,18878.35,75331.19,29945.17
2023,3,Marzo,Banco del Austro,5889,553743,26545162.53,Banco Del Austro,0.0,0.0,18995.92,76768.81,30788.16
2023,4,Abril,Banco del Austro,5968,533513,25198135.09,Banco Del Austro,1.0,1.0,19160.14,76697.24,29948.66
2023,5,Mayo,Banco del Austro,6282,653128,29573498.28,Banco Del Austro,2.0,2.0,19110.34,76539.04,29954.21
2023,6,Junio,Banco del Austro,6289,601812,27562855.56,Banco Del Austro,0.0,0.0,19120.12,76519.02,29696.36
2023,7,Julio,Banco del Austro,6453,661253,30164369.71,Banco Del Austro,0.0,0.0,19149.79,76563.01,29579.5
2023,8,Agosto,Banco del Austro,6555,639827,29323859.51,Banco Del Austro,1.0,1.0,19249.5,77661.06,29807.87
2023,9,Septiembre,Banco del Austro,6482,608390,27170207.25,Banco Del Austro,0.0,0.0,19304.07,77724.47,29606.27
2023,10,Octubre,Banco del Austro,6749,687389,29740844.23,Banco Del Austro,1.0,1.0,19332.48,77979.61,29676.94
2023,11,Noviembre,Banco del Austro,6919,669652,29220181.57,Banco Del Austro,2.0,2.0,19305.94,78387.23,29967.92
2023,12,Diciembre,Banco del Austro,7005,754269,33604016.55,Banco Del Austro,1.0,1.0,19818.38,80343.61,30488.99
2024,1,Enero,Datafast,78387,12777849,682271739.6,Datafast,1.0,1.0,19496.48,79308.68,29914.05
2024,2,Febrero,Datafast,78714,12978894,682196117.64,Datafast,1.0,2.0,19507.7,80099.19,29922.63
2024,3,Marzo,Datafast,79980,14456769,802125757.68,Datafast,1.0,1.0,19551.16,80747.7,30055.16
2024,4,Abril,Datafast,79289,13534137,708421493.46,Datafast,0.0,0.0,19659.83,81192.92,29888.51
2024,5,Mayo,Datafast,79560,14326306,749797692.98,Datafast,2.0,2.0,19641.13,81633.84,29633.51
2024,6,Junio,Datafast,79978,14192584,724084969.53,Datafast,0.0,0.0,19682.31,82395.4,29738.44
2024,7,Julio,Datafast,81334,14451037,753602867.87,Datafast,0.0,0.0,19647.5,82912.15,29737.02
2024,8,Agosto,Datafast,81429,14887973,773591315.07,Datafast,1.0,1.0,19792.52,84163.46,30027.81
2024,9,Septiembre,Datafast,80159,13647420,713060139.16,Datafast,0.0,0.0,19754.7,84617.5,30079.87
2024,10,Octubre,Datafast,80134,14334476,714872525.41,Datafast,1.0,1.0,19866.15,85874.27,30432.59
2024,11,Noviembre,Datafast,87802,15315220,775168695.34,Datafast,2.0,2.0,19965.19,86665.57,31044.44
2024,12,Diciembre,Datafast,86383,18230049,949150718.57,Datafast,1.0,1.0,20302.2,88484.87,31461.76
2024,1,Enero,Medianet,27977,5981674,189735072.12,Medianet,1.0,1.0,19496.48,79308.68,29914.05
2024,2,Febrero,Medianet,28301,6174213,197522950.0,Medianet,1.0,2.0,19507.7,80099.19,29922.63
2024,3,Marzo,Medianet,28518,6311677,201146297.73,Medianet,1.0,1.0,19551.16,80747.7,30055.16
2024,4,Abril,Medianet,29524,6730213,216264220.3,Medianet,0.0,0.0,19659.83,81192.92,29888.51
2024,5,Mayo,Medianet,29795,7066002,219881107.43,Medianet,2.0,2.0,19641.13,81633.84,29633.51
2024,6,Junio,Medianet,29742,6938562,210274186.05,Medianet,0.0,0.0,19682.31,82395.4,29738.44
2024,7,Julio,Medianet,29801,7049586,218968441.81,Medianet,0.0,0.0,19647.5,82912.15,29737.02
2024,8,Agosto,Medianet,30144,7062704,212731002.34,Medianet,1.0,1.0,19792.52,84163.46,30027.81
2024,9,Septiembre,Medianet,30606,6978413,212361996.37,Medianet,0.0,0.0,19754.7,84617.5,30079.87
2024,10,Octubre,Medianet,31093,7277552,208950876.3,Medianet,1.0,1.0,19866.15,85874.27,30432.59
2024,11,Noviembre,Medianet,32311,8753741,317497963.58,Medianet,2.0,2.0,19965.19,86665.57,31044.44
2024,12,Diciembre,Medianet,32216,10455514,394561342.23,Medianet,1.0,1.0,20302.2,88484.87,31461.76
2024,1,Enero,Banco del Austro,6993,717874,30302837.96,Banco Del Austro,1.0,1.0,19496.48,79308.68,29914.05
2024,2,Febrero,Banco del Austro,6814,690726,28430531.16,Banco Del Austro,1.0,2.0,19507.7,80099.19,29922.63
2024,3,Marzo,Banco del Austro,6873,759715,32290907.29,Banco Del Austro,1.0,1.0,19551.16,80747.7,30055.16
2024,4,Abril,Banco del Austro,7014,730506,30845615.89,Banco Del Austro,0.0,0.0,19659.83,81192.92,29888.51
2024,5,Mayo,Banco del Austro,6128,760839,31738849.3,Banco Del Austro,2.0,2.0,19641.13,81633.84,29633.51
2024,6,Junio,Banco del Austro,5812,685539,27857454.64,Banco Del Austro,0.0,0.0,19682.31,82395.4,29738.44
2024,7,Julio,Banco del Austro,5955,820984,33369903.78,Banco Del Austro,0.0,0.0,19647.5,82912.15,29737.02
